variant_id,operation,claim,evidence_block,decision_flips,authorization_expansions,authorization_contractions,deficit_set_changes,mean_deficit_jaccard,changed_cases
remove__complete_entity_specific_mouse_brain_digital_twin__causal_intervention,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,causal_intervention,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__whole_brain_coverage,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,whole_brain_coverage,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__independent_validation,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,independent_validation,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__reproducible_compute,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,reproducible_compute,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__entity_specificity,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,entity_specificity,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__operational_compute,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,operational_compute,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__uncertainty_quantification,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,uncertainty_quantification,0,0,0,5,0.9811612364243942,
remove__complete_entity_specific_mouse_brain_digital_twin__distribution_shift,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,distribution_shift,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__competing_mechanisms,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,competing_mechanisms,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__network_dependence_control,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,network_dependence_control,0,0,0,6,0.9766969507101085,
remove__complete_entity_specific_mouse_brain_digital_twin__robustness,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,robustness,0,0,0,5,0.9811612364243942,
remove__complete_entity_specific_mouse_brain_digital_twin__context_of_use,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,context_of_use,0,0,0,0,1.0,
remove__complete_entity_specific_mouse_brain_digital_twin__biological_fidelity,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,biological_fidelity,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__multiscale_consistency,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,multiscale_consistency,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__data_quality,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,data_quality,0,0,0,4,0.9846334586466166,
remove__complete_entity_specific_mouse_brain_digital_twin__entity_update,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,entity_update,0,0,0,7,0.9722326649958228,
add__complete_entity_specific_mouse_brain_digital_twin__structure_function_association,add_unrequired_relation,complete_entity_specific_mouse_brain_digital_twin,structure_function_association,0,0,0,6,0.977905372675386,
